Facility Name,Facility,NumberOfUnits,Latitude,Longitude,WindTurbineManufacturer
AB Tehachapi Wind Farm,AB Tehachapi,31,35.053289,-118.268631,Vestas
Adair Wind Farm I,Adair,1,41.499234,-94.692628,Vestas
Adair Wind Farm II,Adair,230,41.499234,-94.692628,Siemens
Adams Wind Project,Adams Wind Project,12,43.680643,-92.701006,Alstom
Aegir II,Aegir II,100,43.098,-86.597,
Aero Turbine,Aero Turbine,39,33.7437,-115.9925,
Aeroman Repower Wind Farm,Aeroman repower (2003),2,35.044965,-118.278036,GE Energy
Agassiz Beach Wind Farm,Agassiz Beach,3,46.8844,-96.5042,Vestas
Agriwind Wind Farm,Agriwind,4,41.252069,-89.579542,Suzlon Energy Company
Ainsworth Wind Energy Facility,Ainsworth Wind Energy Facility,36,42.460023,-99.876037,Vestas
Airforce Wind Farm,Airforce,1,43.0759678,-107.2902839,Gamesa
Akron-Westfield School District Wind Farm,Akron-Westfield School District,1,42.7859,-96.5836,Vestas
Alaska Village Cooperative Wind Farm,Alaska Village Cooperative,3,60.5315,-165.109,Northern Power Systems
Alite Wind Farm,Alite Wind Farm,8,35.04046,-118.29939,Vestas
Allegheny Ridge Wind Farm,Allegheny Ridge wind farm,40,40.397243,-78.546156,Gamesa
Alta I,Alta I,100,45.6375,-120.605278,GE Energy
Alta II (Vestas),Alta II (Vestas),50,45.6375,-120.605278,Vestas
Alta III,Alta III,50,45.6375,-120.605278,Vestas
Alta IV,Alta IV,34,45.6375,-120.605278,Vestas
Alta IX,Alta IX,44,45.6375,-120.605278,Vestas
Alta Mesa I Wind Farm,Alta Mesa I,117,33.9095,-116.734,Danwin
Alta Mesa II Wind Farm,Alta Mesa II,42,33.9095,-116.734,Vestas
Alta V,Alta V,56,45.6375,-120.605278,Vestas
Alta VI,Alta VI,50,45.6375,-120.605278,Vestas
Alta VII,Alta VII,56,45.6375,-120.605278,Vestas
Alta VIII,Alta VIII,50,45.6375,-120.605278,Vestas
Altech Energy Wind Farm,Altech Energy Ltd,144,37.7347,-121.652,Enertech
Altech III (a),Altech III,51,33.9095,-116.734,NEG Micon
Altech III (b),Altech III,201,33.9095,-116.734,NEG Micon
Altech III Wind Farm,Altech III,252,34.1266596,-117.2352765,NEG Micon
American Windmill Museum Wind Farm,American Windmill Museum,1,33.5637,-101.869,Vestas
Antelope Ridge Wind Farm,Antelope Ridge Wind Farm,164,45.207914,-117.914075,Undetermined
Apex Offshore Phase 1,Apex Offshore Phase 1,165,34.169,-77.12,
Apex Offshore Phase 2,Apex Offshore Phase 2,360,34.169,-76.91,
Aragonne Mesa Wind Farm,Aragonne Mesa,90,34.796889,-105.054188,Mitsubishi
Armenia Mountain Wind Energy Project,Armenia Mountain Wind Energy Project,67,41.763272,-76.842613,GE Energy
Arnold Wind Farm,Arnold Wind Farm,1,43.762,-95.8274,Vestas
Ashtabula - NextEra Wind Farm,Ashtabula - NextEra,99,47.123021,-97.895,GE Energy
Ashtabula - Otter Tail Wind Farm,Ashtabula - Otter Tail,32,47.123021,-97.895,GE Energy
Ashtabula II Wind Farm,Ashtabula II,80,47.133005,-97.950597,GE Energy
Ashtabula III,Ashtabula III,39,47.135175,-97.935219,GE Energy
Aurora Wal Mart Wind Farm,Aurora Wal Mart,1,39.760714,-104.773079,Bergey Windpower
Baileyville Wind Project,Baileyville Wind Project,40,41.9227,-89.3006,Gamesa
Baldwin Wind Farm,Baldwin Wind Farm,64,47.059561,-100.776,GE Energy
Banner Wind Project,Banner Wind Project,18,64.507553,-165.419189,Entegrity
Bartlett's Ocean View Wind Farm,Bartlett's Ocean View Wind Farm,1,41.259168,-70.131913,Wind Energy Solutions
Barton Chapel Wind Farm,Barton Chapel Wind,60,33.073442,-98.30084,Gamesa
Barton Wind Farm,Barton Wind Farm,80,43.365893,-93.095412,Gamesa
Baseline Wind Energy Facility,Baseline Wind Energy Facility,250,45.626863,-120.162885,Undetermined
Bear Creek Wind Farm,Bear Creek,12,41.1801,-75.7216,Gamesa
Beaulieu Wind Farm,Beaulieu,1,46.551388,-67.808333,Atlantic Orient Co.
Beech Ridge Energy Wind Farm,Beech Ridge Energy,56,38.06692,-80.498571,GE Energy
Bennett Creek,Bennett Creek,10,43.0466399,-115.485481,Suzlon Energy Company
Bent Tree Wind Farm,Bent Tree Wind Farm,122,43.78544,-93.452282,Vestas
